Date,I_0221,I_0225,I_0229,I_0233,I_0237,I_0241,I_0245,I_0249,I_0342,I_1223,I_1229,I_1233,I_1237,I_1241,I_1245,I_1249
2009-10-11 15:00:00,308.279133928571,301.339035714286,306.719964285714,164.617294642857,138.092705357143,136.623901785714,130.649955357143,139.8719375,84.1957767857143,299.837955357143,299.955758928571,180.423821428571,158.836053571429,151.711919642857,157.8909375,158.687991071429
2009-10-11 16:00:00,308.2799375,301.33925,306.71375,164.6310625,138.0909375,136.6233125,130.6496875,139.8715625,84.1944375,299.8316875,299.9483125,180.42275,158.830375,151.7114375,157.8905625,158.6879375
2009-10-11 17:00:00,308.280741071429,301.339464285714,306.707535714286,164.644830357143,138.089169642857,136.622723214286,130.649419642857,139.8711875,84.1930982142857,299.825419642857,299.940866071429,180.421678571429,158.824696428571,151.710955357143,157.8901875,158.687883928571
2009-10-11 18:00:00,308.281544642857,301.339678571429,306.701321428571,164.658598214286,138.087401785714,136.622133928571,130.649151785714,139.8708125,84.1917589285714,299.819151785714,299.933419642857,180.420607142857,158.819017857143,151.710473214286,157.8898125,158.687830357143
2009-10-11 19:00:00,308.282348214286,301.339892857143,306.695107142857,164.672366071429,138.085633928571,136.621544642857,130.648883928571,139.8704375,84.1904196428571,299.812883928571,299.925973214286,180.419535714286,158.813339285714,151.709991071429,157.8894375,158.687776785714
2009-10-11 20:00:00,308.283151785714,301.340107142857,306.688892857143,164.686133928571,138.083866071429,136.620955357143,130.648616071429,139.8700625,84.1890803571429,299.806616071429,299.918526785714,180.418464285714,158.807660714286,151.709508928571,157.8890625,158.687723214286
2009-10-11 21:00:00,308.283955357143,301.340321428571,306.682678571429,164.699901785714,138.082098214286,136.620366071429,130.648348214286,139.8696875,84.1877410714286,299.800348214286,299.911080357143,180.417392857143,158.801982142857,151.709026785714,157.8886875,158.687669642857
2009-10-11 22:00:00,308.284758928571,301.340535714286,306.676464285714,164.713669642857,138.080330357143,136.619776785714,130.648080357143,139.8693125,84.1864017857143,299.794080357143,299.903633928571,180.416321428571,158.796303571429,151.708544642857,157.8883125,158.687616071429
2009-10-11 23:00:00,308.2855625,301.34075,306.67025,164.7274375,138.0785625,136.6191875,130.6478125,139.8689375,84.1850625,299.7878125,299.8961875,180.41525,158.790625,151.7080625,157.8879375,158.6875625
2009-10-12 00:00:00,308.286366071429,301.340964285714,306.664035714286,164.741205357143,138.076794642857,136.618598214286,130.647544642857,139.8685625,84.1837232142857,299.781544642857,299.888741071429,180.414178571429,158.784946428571,151.707580357143,157.8875625,158.687508928571
2009-10-12 01:00:00,308.287169642857,301.341178571429,306.657821428571,164.754973214286,138.075026785714,136.618008928571,130.647276785714,139.8681875,84.1823839285714,299.775276785714,299.881294642857,180.413107142857,158.779267857143,151.707098214286,157.8871875,158.687455357143
